organization,url
Global Environment Facility,https://www.thegef.org/who-we-are/gef-council/members-alternates
Global Environment Facility,https://www.thegef.org/who-we-are/organization
Green Climate Fund,https://www.greenclimate.fund/boardroom
Green Climate Fund,https://www.greenclimate.fund/about/secretariat/management
Green Climate Fund,https://www.greenclimate.fund/about/governance
Abu Dhabi Fund for Development,https://www.adfd.ae/en/who-we-are/our-leadership
African Development Bank,https://www.afdb.org/en/about-us/organisational-structure/board-of-directors
African Development Bank,https://www.afdb.org/en/about-organisational-structure/list-afdb-group-board-members
African Development Bank,https://www.afdb.org/en/about-us/organisational-structure/departments-and-complexes
African Export-Import Bank,https://www.afreximbank.com/our-bank/about-us/board-of-directors/
African Export-Import Bank,https://www.afreximbank.com/our-bank/about-us/management-team/
Arab Bank for Economic Development in Africa,https://www.badea.org/board-of-directors-2/
Arab Bank for Economic Development in Africa,https://www.badea.org/leadership-top-management-team/
Arab Fund for Economic and Social Development,https://www.arabfund.org/introduction/organization-management/
Arab Monetary Fund,https://www.amf.org.ae/en/page/board-directors
Arab Monetary Fund,https://www.amf.org.ae/en/page/board-governors
Arab Monetary Fund,https://www.amf.org.ae/en/page/governance-framework
Asian Development Bank,https://www.adb.org/who-we-are/organization/board-directors
Asian Development Bank,https://www.adb.org/who-we-are/organization
Asian Development Bank,https://www.adb.org/who-we-are/organization/board-governors
Asian Infrastructure Investment Bank,https://www.aiib.org/en/about-aiib/governance/senior-management/index.html
Asian Infrastructure Investment Bank,https://www.aiib.org/en/about-aiib/governance/board-directors/board-members/index.html
Asian Infrastructure Investment Bank,https://www.aiib.org/en/who-we-are/about-aiib/leadership/index.html
Bank for International Settlements,https://www.bis.org/about/board.htm
Bank for International Settlements,https://www.bis.org/about/officials.htm
Black Sea Trade and Development Bank,https://www.bstdb.org/who-we-are/how-we-are-structured/board-of-directors
Black Sea Trade and Development Bank,https://www.bstdb.org/who-we-are/how-we-are-structured/management
CAF - Development Bank of Latin America and the Caribbean,https://www.caf.com/en/who-we-are/organization-chart/
CAF - Development Bank of Latin America and the Caribbean,https://www.caf.com/en/who-we-are/organization-chart/directory/
CAF - Development Bank of Latin America and the Caribbean,https://www.caf.com/en/who-we-are/organization-chart/executive-presidency/
Caribbean Development Bank,https://www.caribank.org/about-us/bank-organisation/board-directors
Caribbean Development Bank,https://www.caribank.org/about-us/bank-organisation/board-governors
Caribbean Development Bank,https://www.caribank.org/about-us/bank-organisation
Central American Bank for Economic Integration,https://archive.bcie.org/en/about-us/organizational-structure/directors
Central American Bank for Economic Integration,https://www.bcie.org/en/about-us/organizational-structure/departments-and-offices
Council of Europe Development Bank,https://coebank.org/en/about/structure-management/governing-board/
Council of Europe Development Bank,https://coebank.org/en/about/structure-management/administrative-council/
Council of Europe Development Bank,https://coebank.org/en/about/structure-management/
Development Bank of the Central African States,https://www.bdeac.org/jcms/ess_5045/organigramme
Development Bank of the Central African States,https://www.bdeac.org/jcms/pre_8246/la-presidence-de-la-bdeac
Development Bank of the Central African States,https://www.bdeac.org/jcms/ess_5488/gouvernance-de-la-bdeac
East African Development Bank,https://eadb.org/about/structure/
East African Development Bank,https://eadb.org/about/our-team/
Eastern and Southern African Trade and Development Bank,https://www.tdbgroup.org/about-us/
ECOWAS Bank for Investment and Development,https://www.bidc-ebid.org/en/home/board-of-directors/
ECOWAS Bank for Investment and Development,https://www.bidc-ebid.org/en/management/
ECOWAS Bank for Investment and Development,https://www.bidc-ebid.org/en/home/board-of-governors/
Eurasian Development Bank,https://eabr.org/en/about/bank-management/chairman/
Eurasian Development Bank,https://eabr.org/en/about/
European Bank for Reconstruction and Development,https://www.ebrd.com/home/who-we-are/our-organisation/ebrd-governance-leadership/ebrd-board-of-directors.html
European Bank for Reconstruction and Development,https://www.ebrd.com/home/who-we-are/our-organisation/ebrd-governance-leadership/ebrd-executive-committee.html
European Bank for Reconstruction and Development,https://www.ebrd.com/home/who-we-are/our-organisation/ebrd-governance-leadership.html
European Investment Bank,https://www.eib.org/en/about/governance-and-structure/statutory-bodies/board-directors/index
European Investment Bank,https://www.eib.org/en/about/governance-and-structure/statutory-bodies/management-committee/index
European Investment Bank,https://www.eib.org/en/about/governance-and-structure/statutory-bodies/board-governors/index
Inter-American Development Bank,https://www.iadb.org/en/who-we-are/how-we-are-organized/board-executive-directors/executive-directors-and-alternates
Inter-American Development Bank,https://www.iadb.org/en/who-we-are/how-we-are-organized/board-executive-directors
Inter-American Development Bank,https://www.iadb.org/en/who-we-are/how-we-are-organized/management-biographies
Inter-American Investment Corporation (IDB Invest),https://idbinvest.org/en/corporate-governance
Inter-American Investment Corporation (IDB Invest),https://idbinvest.org/en/about-us/our-corporate-structure
International Bank for Reconstruction and Development,https://www.worldbank.org/en/about/leadership/directors
International Bank for Reconstruction and Development,https://www.worldbank.org/en/about/leadership
International Development Association,https://ida.worldbank.org/en/about/how-does-ida-work
International Finance Corporation,https://www.ifc.org/en/about/leadership
International Investment Bank,https://iib.int/en/about
Islamic Development Bank,https://www.isdb.org/leadership/board-of-executive-directors
Islamic Development Bank,https://www.isdb.org/leadership/senior-management
Islamic Development Bank,https://www.isdb.org/president
Kuwait Fund for Arab Economic Development,https://www.kuwait-fund.org/web/kfund/who-we-are
Kuwait Fund for Arab Economic Development,https://www.kuwait-fund.org/en/web/kfund/board-meetings
Multilateral Investment Guarantee Agency,https://www.miga.org/board-directors
Multilateral Investment Guarantee Agency,https://www.miga.org/about/management
New Development Bank,https://www.ndb.int/governance/boards/
New Development Bank,https://www.ndb.int/governance/senior-management/
Nordic Investment Bank,https://www.nib.int/about/board-of-directors
Nordic Investment Bank,https://www.nib.int/about/executive-committee
Nordic Investment Bank,https://www.nib.int/about/control-committee-and-auditors
OPEC Fund for International Development,https://opecfund.org/who-we-are/the-organization/governing-board
OPEC Fund for International Development,https://opecfund.org/who-we-are/the-organization/director-general
Saudi Fund for Development,https://www.sfd.gov.sa/en/board-of-directors-view
Saudi Fund for Development,https://www.sfd.gov.sa/en/node/281
West African Development Bank,https://www.boad.org/en/find-out-more/boad-board-of-directors/
West African Development Bank,https://www.boad.org/en/find-out-more/governance
"Gavi, the Vaccine Alliance",https://www.gavi.org/governance/gavi-board/members
"Gavi, the Vaccine Alliance",https://www.gavi.org/about-us/governance
"Gavi, the Vaccine Alliance",https://www.gavi.org/operating-model/gavi-secretariat
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",https://www.theglobalfund.org/en/board/
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",https://www.theglobalfund.org/en/board/committees/
Missile Technology Control Regime,https://www.mtcr.info/en/partners/mtcr-experts-groups
Missile Technology Control Regime,https://www.mtcr.info/en/partners
Nuclear Suppliers Group,https://www.nuclearsuppliersgroup.org/index.php/en/about/organisation
Nuclear Suppliers Group,http://www.nuclearsuppliersgroup.org/index.php/en/about/chairs-corner
Nuclear Suppliers Group,https://www.nuclearsuppliersgroup.org/index.php/en/about/participants
Wassenaar Arrangement,https://www.wassenaar.org/about-us/
Egmont Group of Financial Intelligence Units,https://egmontgroup.org/about/leadership/
Egmont Group of Financial Intelligence Units,https://egmontgroup.org/about/organization-and-structure/
Egmont Group of Financial Intelligence Units,https://egmontgroup.org/en/content/egmont-group-secretariat
Group of 24,https://g24.org/about/organizational-structure-and-governance/
Group of 24,https://g24.org/secretariat/
Group of 24,https://g24.org/members/
Group of 77,https://www.g77.org/doc/presiding.html
Group of 77,https://www.g77.org/doc/
Paris Club,https://clubdeparis.org/en/communications/page/the-chair-and-the-secretariat-of-the-paris-club
Paris Club,https://clubdeparis.org/en/communications/page/who-are-the-members-of-the-paris-club
ASEAN Plus Three,https://aseanplusthree.asean.org/about-apt/
